,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
2492,2492,109.0,100.0,9.0,109.0,100.0,9.0,0.0,109.0
2493,2493,23.0,15.0,8.0,23.0,15.0,8.0,0.0,23.0
2494,2494,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0
2495,2495,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0
2496,2496,30.0,26.0,4.0,30.0,26.0,4.0,0.0,30.0
2497,2497,100.0,91.0,9.0,99.0,91.0,8.0,2.0,101.0
2498,2498,31.0,26.0,5.0,14.0,12.0,2.0,0.0,14.0
2499,2499,32.0,,,30.0,,,0.0,30.0
2500,2500,39.0,34.0,5.0,39.0,34.0,5.0,0.0,39.0
2501,2501,10.0,9.0,1.0,3.0,2.0,1.0,0.0,3.0
2502,2502,37.0,32.0,5.0,37.0,32.0,5.0,0.0,37.0
2503,2503,37.0,,,37.0,,,0.0,37.0
2504,2504,21.0,18.0,3.0,21.0,18.0,3.0,0.0,21.0
2505,2505,11.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0
2506,2506,34.0,30.0,4.0,8.0,7.0,1.0,0.0,8.0
2507,2507,38.0,34.0,4.0,4.0,1.0,3.0,0.0,4.0
2508,2508,40.0,37.0,3.0,32.0,30.0,2.0,0.0,32.0
2509,2509,43.0,37.0,6.0,43.0,37.0,6.0,0.0,43.0
2510,2510,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0
2511,2511,11.0,9.0,2.0,3.0,2.0,1.0,0.0,3.0
2512,2512,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0
2513,2513,4.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0
2514,2514,75.0,71.0,4.0,75.0,71.0,4.0,0.0,75.0
2515,2515,79.0,73.0,6.0,79.0,73.0,6.0,0.0,79.0
2516,2516,229.0,219.0,10.0,47.0,46.0,1.0,0.0,47.0
2517,2517,44.0,39.0,5.0,42.0,37.0,5.0,0.0,42.0
2518,2518,8.0,4.0,4.0,8.0,4.0,4.0,0.0,8.0
2519,2519,16.0,12.0,4.0,5.0,2.0,3.0,0.0,5.0
2520,2520,27.0,20.0,7.0,19.0,16.0,3.0,0.0,19.0
2521,2521,55.0,48.0,7.0,2.0,2.0,0.0,0.0,2.0
2522,2522,35.0,31.0,4.0,7.0,7.0,0.0,0.0,7.0
2523,2523,31.0,28.0,3.0,31.0,28.0,3.0,0.0,31.0
2524,2524,93.0,90.0,3.0,93.0,90.0,3.0,0.0,93.0
2525,2525,16.0,8.0,8.0,16.0,8.0,8.0,0.0,16.0
2526,2526,21.0,14.0,7.0,2.0,0.0,2.0,0.0,2.0
2527,2527,47.0,39.0,8.0,45.0,38.0,7.0,0.0,45.0
2528,2528,35.0,30.0,5.0,35.0,30.0,5.0,0.0,35.0
2529,2529,21.0,17.0,4.0,21.0,17.0,4.0,0.0,21.0
2530,2530,14.0,12.0,2.0,14.0,12.0,2.0,0.0,14.0
2531,2531,60.0,55.0,5.0,2.0,1.0,1.0,0.0,2.0
2532,2532,47.0,43.0,4.0,13.0,12.0,1.0,0.0,13.0
2533,2533,7.0,6.0,1.0,7.0,6.0,1.0,0.0,7.0
2534,2534,12.0,8.0,4.0,12.0,8.0,4.0,0.0,12.0
2535,2535,15.0,11.0,4.0,15.0,11.0,4.0,0.0,15.0
2536,2536,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0
2537,2537,65.0,57.0,8.0,65.0,57.0,8.0,0.0,65.0
2538,2538,40.0,36.0,4.0,39.0,35.0,4.0,0.0,39.0
2539,2539,4.0,3.0,1.0,4.0,3.0,1.0,0.0,4.0
2540,2540,35.0,32.0,3.0,5.0,2.0,3.0,0.0,5.0
2541,2541,83.0,76.0,7.0,78.0,75.0,3.0,0.0,78.0
2542,2542,4.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0
2543,2543,6.0,5.0,1.0,6.0,5.0,1.0,0.0,6.0
2544,2544,51.0,44.0,7.0,50.0,44.0,6.0,0.0,50.0
2545,2545,31.0,28.0,3.0,28.0,26.0,2.0,0.0,28.0
2546,2546,24.0,20.0,4.0,24.0,20.0,4.0,0.0,24.0
2547,2547,6.0,4.0,2.0,6.0,4.0,2.0,0.0,6.0
2548,2548,24.0,21.0,3.0,17.0,15.0,2.0,0.0,17.0
2549,2549,68.0,64.0,4.0,68.0,64.0,4.0,0.0,68.0
2550,2550,6.0,4.0,2.0,6.0,4.0,2.0,0.0,6.0
2551,2551,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0
2552,2552,126.0,118.0,8.0,97.0,93.0,4.0,0.0,97.0
2553,2553,39.0,36.0,3.0,37.0,34.0,3.0,0.0,37.0
2554,2554,164.0,155.0,9.0,163.0,155.0,8.0,0.0,163.0
2555,2555,218.0,197.0,21.0,0.0,0.0,0.0,0.0,0.0
2556,2556,37.0,32.0,5.0,37.0,32.0,5.0,0.0,37.0
2557,2557,8.0,7.0,1.0,3.0,2.0,1.0,0.0,3.0
2558,2558,34.0,25.0,9.0,32.0,23.0,9.0,0.0,32.0
2559,2559,111.0,104.0,7.0,111.0,104.0,7.0,0.0,111.0
2560,2560,121.0,115.0,6.0,22.0,21.0,1.0,0.0,22.0
2561,2561,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
2562,2562,49.0,41.0,8.0,49.0,41.0,8.0,0.0,49.0
2563,2563,9.0,7.0,2.0,9.0,6.0,2.0,0.0,9.0
2564,2564,32.0,28.0,4.0,32.0,28.0,4.0,0.0,32.0
2565,2565,63.0,55.0,8.0,63.0,55.0,8.0,0.0,63.0
2566,2566,25.0,18.0,7.0,25.0,18.0,7.0,0.0,25.0
2567,2567,10.0,9.0,1.0,10.0,9.0,1.0,0.0,10.0
2568,2568,21.0,17.0,4.0,19.0,15.0,4.0,0.0,19.0
2569,2569,16.0,14.0,2.0,16.0,14.0,2.0,0.0,16.0
2570,2570,23.0,20.0,3.0,22.0,19.0,3.0,0.0,22.0
2571,2571,8.0,6.0,2.0,4.0,2.0,2.0,0.0,4.0
2572,2572,52.0,46.0,6.0,52.0,46.0,6.0,0.0,52.0
2573,2573,69.0,62.0,7.0,69.0,62.0,7.0,0.0,69.0
2574,2574,48.0,43.0,5.0,48.0,43.0,5.0,0.0,48.0
2575,2575,25.0,17.0,8.0,25.0,17.0,8.0,0.0,25.0
2576,2576,34.0,29.0,5.0,34.0,29.0,5.0,0.0,34.0
2577,2577,57.0,53.0,4.0,57.0,53.0,4.0,0.0,57.0
2578,2578,29.0,24.0,5.0,2.0,1.0,1.0,0.0,2.0
2579,2579,42.0,37.0,5.0,10.0,9.0,1.0,0.0,10.0
2580,2580,31.0,27.0,4.0,21.0,17.0,4.0,0.0,21.0
2581,2581,73.0,62.0,11.0,28.0,26.0,2.0,0.0,28.0
