,flight_id,causes,date,route_simple
593,593,Sin datos,1940-11-04,Bolivia
594,594,Sin datos,1940-11-04,Utah
595,595,Sin datos,1940-11-08,Brazil
596,596,Sin datos,1940-11-08,Germany
597,597,Sin datos,1940-11-27,Mediterranean Sea
598,598,Sin datos,1940-12-04,Illinois
599,599,Sin datos,1940-12-24,Italy
600,600,Sin datos,1941-01-10,Mediterranean Sea
601,601,Sin datos,1941-01-15,Brazil
602,602,Sin datos,1941-01-17,Hungary
603,603,Sin datos,1941-01-20,China
604,604,Sin datos,1941-01-23,Missouri
605,605,Sin datos,1941-02-06,Canada
606,606,Sin datos,1941-02-26,Georgia
607,607,Sin datos,1941-03-01,Norway
608,608,Sin datos,1941-03-28,South Africa
609,609,Sin datos,1941-06-03,Atlantic Ocean
610,610,Sin datos,1941-06-18,Romania
611,611,Sin datos,1941-06-21,Sea of Japan
612,612,Sin datos,1941-07-30,Italy
613,613,Sin datos,1941-08-10,Scotland
614,614,Sin datos,1941-08-14,Scotland
615,615,Sin datos,1941-08-18,Brazil
616,616,Sin datos,1941-08-27,Australila
617,617,Sin datos,1941-09-01,Scotland
618,618,Sin datos,1941-09-01,France
619,619,Sin datos,1941-10-03,Puerto Rico
620,620,Sin datos,1941-10-28,bulgaria
621,621,Sin datos,1941-10-30,Minnesota
622,622,Sin datos,1941-10-30,Canada
623,623,Sin datos,1941-11-29,Turkmenistan
624,624,Sin datos,1941-12-11,Florida
625,625,Sin datos,1941-12-26,Kazakhstan
626,626,Sin datos,1941-12-29,Indonesia
627,627,Sin datos,1942-01-16,Nevada
628,628,Sin datos,1942-01-20,Indonesia
629,629,Sin datos,1942-01-26,Timor
630,630,Sin datos,1942-01-30,Timor
631,631,Sin datos,1942-02-15,England
632,632,Sin datos,1942-02-19,China
633,633,Sin datos,1942-02-20,Australia
634,634,Sin datos,1942-02-28,Indian Ocean
635,635,Sin datos,1942-03-03,Australia
